region,ks,median,r2,ks_p,func_name,num_users,num_geotweets,pkt_inland_yr_capita,gdp_capita,region_name,city,para1,para2,area,pop
australia,68.9975919031804,4.576589594520231,0.9646447195132248,0.0069409817042056,lognormal,3310,847668,12.678723548787136,57.4,Australia,0,1.4060815518968706,1.5506823823709135,7692000,24.99
austria,41.07251429231542,3.455490450397393,0.939648866572596,0.6167990718362771,lognormal,729,168364,4.44591530282708,51.5,Austria,0,1.1992064699584084,1.5257851665982778,83879,8.56
barcelona,128.02276432529348,2.9194600268356488,0.9577175776611034,0.017027245762695,lognormal,1891,482357,7.760566088247463,33.1,"Barcelona, Spain",1,1.116297322874377,1.4309753200573097,505990,5.56
capetown,53.1370677201863,4.418744764614834,0.9215367308685728,0.1787122096771286,lognormal,1092,193993,11.570456785305796,6.2,"Cape Town, South Africa",1,1.3219719577685485,1.585217002115168,1220000,0.43
cebu,44.2060560263081,2.988838497745673,0.942641650566674,0.077771353860288,lognormal,1486,400094,5.033464940240775,3.1,"Cebu, Philippines",1,1.155863200747517,1.4498177981170477,300000,0.92
egypt,33.436143000812486,3.898471836159066,0.9085102404682992,0.246294216665975,lognormal,1464,234322,5.4456666575476405,2.55,Egypt,0,0.9635756598552606,1.6012022879227272,1010000,98.42
guadalajara,69.31679921901446,4.40042622410717,0.8776599092271004,0.1943924097650964,lognormal,684,212681,7.382419120858998,17.88,"Guadalajara, Mexico",1,1.5854976730193493,1.6054903569602426,1973000,1.5
jakarta,135.61933523842794,4.280725072358931,0.9391074184237554,0.0065030753909543,lognormal,13088,4650699,6.355351389777144,19.03,"Jakarta, Indonesia",1,1.2629598970250455,1.578226121753147,1905000,9.61
johannesburg,52.327187535179895,5.800106646519568,0.9078499486788392,0.3105709359991423,lognormal,1268,214187,9.811233375308772,16.37,"Johannesburg, South Africa",1,1.361274858751497,1.6996728996471653,1220000,0.96
kualalumpur,248.7481467486637,5.56180270470191,0.9444838739648128,0.0708221082280647,lognormal,4663,1543306,5.040627050718329,11.14,"Kuala Lumpur, Malaysia",1,1.833987997538253,1.7688604050480286,329847,1.81
lagos,84.0004427005435,3.331230401143182,0.907628492408615,0.3711124319616647,lognormal,812,96943,3.801773520599805,2.22,"Lagos, Nigeria",1,0.9148443302638228,1.491299077001465,923768,21.0
madrid,31.77067165888649,3.417158236829261,0.97379192947046,0.0029994762730549,lognormal,3172,671234,9.504785506508924,48.77,"Madrid, Spain",1,1.1260744272108916,1.475635868091847,505990,6.64
manila,81.33733011652961,4.36876615890939,0.9501005438084678,0.0082434065213376,lognormal,11997,3482176,4.517566181598866,9.6,"Manila, Philippines",1,1.442256319732781,1.6597207518534185,300000,1.78
moscow,78.7324997078077,6.26884237370022,0.9564619062217778,0.009140170487609,lognormal,4206,1628759,15.479763247616797,22.06,"Moscow, Russia",1,1.7082292882026384,1.713898018906702,17100000,11.92
nairobi,44.4241312832988,3.6658242146550055,0.8735234493105186,0.2541499095428097,lognormal,644,166404,3.410534190814182,2.01,"Nairobi, Kenya",1,1.0113395786185917,1.5827087507225226,580367,4.4
netherlands,11.711880315130934,3.818948413278648,0.958863246343572,0.1807778560970216,lognormal,5375,1479674,3.127576407556372,53.02,The Netherlands,0,1.172526544753956,1.4734490465629475,41543,17.28
rio,89.83813542330967,5.490171897609033,0.958143892454072,0.0107412095764526,lognormal,6063,1593782,8.669186339133129,11.02,"Rio de Janeiro, Brazil",1,1.460529121230266,1.6338642110102015,8516000,6.32
saopaulo,76.67027747068263,5.047958351894352,0.967464856953065,0.0057881200778862,lognormal,10943,3513796,10.199691299425202,27.13,"Ṣo Paulo, Brazil",1,1.5704093066293563,1.6767726734111392,8516000,12.18
saudiarabia,48.30760810800788,5.530235876034037,0.9099291117050592,0.0677813875027665,lognormal,3117,626427,7.276804021192042,23.34,Saudi Arabia,0,1.6248201559995217,1.724899105396163,2150000,33.7
stpertersburg,74.9496955612701,4.588806813324988,0.9596863057273204,0.0010075179610215,lognormal,1386,508124,14.618935291004984,12.4,"Saint Petersburg, Russia",1,1.4848077729294094,1.5343721051460932,17100000,4.99
surabaya,132.17497342047588,3.9108982532426975,0.9256740261135802,0.0446658310727342,lognormal,2414,803844,5.661997703626707,14.2,"Surabaya, Indonesia",1,1.3026427249997432,1.5257876073920582,1905000,2.77
sweden,31.11686713258368,5.180011304120825,0.971376924826608,0.1034999930756971,lognormal,3961,1248158,7.267020980429114,54.61,Sweden,0,1.4535248050358,1.546655397762046,450295,10.23
