region,num_users,num_geotweets,pkt,pkt_inland,num_trips,num_trips_inland,days,pkt_yr,num_trips_yr,pkt_inland_yr,num_trips_inland_yr,gdp_capita,region_name,country,pop_country,pkt_yr_capita,pkt_inland_yr_capita,Year,pkt_inland_yr_capita_gt
sweden,3961.0,1248158.0,158614765.8229491,158614765.8229491,3865321.0,3865321.0,799912.0,28668.113106193683,698.620075153892,28668.113106193683,698.620075153892,54.61,Sweden,Sweden,10.23,7.237594826102924,7.237594826102924,2018.0,1.3710459433040079
netherlands,5375.0,1479674.0,85094144.53965937,85094144.53965937,5155085.0,5155085.0,1065091.0,15674.160688499314,949.5557078573569,15674.160688499314,949.5557078573569,53.02,The Netherlands,The Netherlands,17.28,2.91612291879057,2.91612291879057,,
saopaulo,10943.0,3513796.0,532169319.8344971,532169319.8344971,10557988.0,10557988.0,2202525.0,96506.87444802439,1914.650815752829,96506.87444802439,1914.650815752829,27.13,"São Paulo, Brazil",Brazil,209.5,8.81905094106044,8.81905094106044,,
rio,6063.0,1593782.0,269052511.34440815,269052511.34440815,5739791.0,5739791.0,1192859.0,49914.68919148186,1064.8474617741913,49914.68919148186,1064.8474617741913,11.02,"Rio de Janeiro, Brazil",Brazil,209.5,8.232671811229071,8.232671811229071,,
australia,3310.0,847668.0,206752919.3558982,206752919.3558982,2971799.0,2971799.0,621607.0,40184.318953909526,577.596288627702,40184.318953909526,577.596288627702,57.4,Australia,Australia,24.99,12.140277629579916,12.140277629579916,2018.0,1.3264796910764307
austria,729.0,168364.0,15323798.392557312,15323798.392557312,644803.0,644803.0,133756.0,3048.41120793356,128.27268029471574,3048.41120793356,128.27268029471574,51.5,Austria,Austria,8.56,4.181634030087188,4.181634030087188,1992.0,0.9077219626168224
barcelona,1891.0,482357.0,76787823.97820902,76787823.97820902,1796701.0,1796701.0,382737.0,13847.657249526315,324.010999907247,13847.657249526315,324.010999907247,33.1,"Barcelona, Spain",Spain,46.94,7.322928212335439,7.322928212335439,2016.0,0.8613400085215169
madrid,3172.0,671234.0,154781277.56900042,154781277.56900042,2957061.0,2957061.0,621348.0,28840.950247500165,550.9997754205373,28840.950247500165,550.9997754205373,48.77,"Madrid, Spain",Spain,46.94,9.092355059111023,9.092355059111023,2016.0,0.8613400085215169
capetown,1092.0,193993.0,62027936.93636575,62027936.93636575,1003843.0,1003843.0,207363.0,11922.61642824258,192.9523313898815,11922.61642824258,192.9523313898815,6.2,"Cape Town, South Africa",South Africa,57.78,10.918146912310055,10.918146912310055,,
johannesburg,1268.0,214187.0,59452897.387212105,59452897.387212105,1137233.0,1137233.0,233805.0,11768.77738660401,225.11673277303734,11768.77738660401,225.11673277303734,16.37,"Johannesburg, South Africa",South Africa,57.78,9.281370178709787,9.281370178709787,,
cebu,1486.0,400094.0,39513427.06333057,39513427.06333057,1412924.0,1412924.0,300652.0,7128.403504676459,254.89797119593413,7128.403504676459,254.89797119593413,3.1,"Cebu, Philippines",Philippines,106.7,4.797041389418882,4.797041389418882,,
manila,11997.0,3482176.0,286522743.46610343,286522743.46610343,11637938.0,11637938.0,2471819.0,50758.40399225985,2061.69727224728,50758.40399225985,2061.69727224728,9.6,"Manila, Philippines",Philippines,106.7,4.230924730537622,4.230924730537622,,
egypt,1464.0,234322.0,38804430.18545702,38804430.18545702,1332229.0,1332229.0,270851.0,7655.698267276404,262.83450621928665,7655.698267276404,262.83450621928665,2.55,Egypt,Egypt,98.42,5.229302095134156,5.229302095134156,,
guadalajara,684.0,212681.0,28447386.071285706,28447386.071285706,688111.0,688111.0,146569.0,4845.618382166207,117.21018241237914,4845.618382166207,117.21018241237914,17.88,"Guadalajara, Mexico",Mexico,126.2,7.084237400827788,7.084237400827788,2018.0,0.42804437400950873
mexicocity,15615.0,4613752.0,522686062.61173356,522686062.61173356,15308189.0,15308189.0,3211362.0,92765.50406662376,2716.8734169730787,92765.50406662376,2716.8734169730787,10.12,"Mexico City, Mexico",Mexico,126.2,5.940794368659863,5.940794368659863,2018.0,0.42804437400950873
jakarta,13088.0,4650699.0,462209109.4108758,462209109.4108758,13254227.0,13254227.0,2812859.0,78497.65597027377,2250.9849546756523,78497.65597027377,2250.9849546756523,19.03,"Jakarta, Indonesia",Indonesia,267.7,5.99768153807104,5.99768153807104,,
surabaya,2414.0,803844.0,76577794.4087539,76577794.4087539,2423967.0,2423967.0,518381.0,13016.190877269257,412.0100010166268,13016.190877269257,412.0100010166268,14.2,"Surabaya, Indonesia",Indonesia,267.7,5.391959766888673,5.391959766888673,,
kualalumpur,4663.0,1543306.0,125379623.32395002,125379623.32395002,4612218.0,4612218.0,973566.0,21918.9548524955,806.3112285053094,21918.9548524955,806.3112285053094,11.14,"Kuala Lumpur, Malaysia",Malaysia,31.53,4.70061223514808,4.70061223514808,,
lagos,812.0,96943.0,13444058.168923473,13444058.168923473,667739.0,667739.0,139672.0,2852.790795653774,141.6923111432499,2852.790795653774,141.6923111432499,2.22,"Lagos, Nigeria",Nigeria,195.9,3.513289157209081,3.513289157209081,,
moscow,4206.0,1628759.0,350221432.94336605,350221432.94336605,4207051.0,4207051.0,862881.0,62309.454216783786,748.4951719518683,62309.454216783786,748.4951719518683,22.06,"Moscow, Russia",Russian Federation,144.5,14.814420878931,14.814420878931,2018.0,0.1746948096885813
stpertersburg,1386.0,508124.0,109244085.3942428,109244085.3942428,1367385.0,1367385.0,286729.0,19274.468351681724,241.2544240903431,19274.468351681724,241.2544240903431,12.4,"Saint Petersburg, Russia",Russian Federation,144.5,13.906542822281185,13.906542822281185,2018.0,0.1746948096885813
nairobi,644.0,166404.0,10515565.028306158,10515565.028306158,587939.0,587939.0,123533.0,2000.9136955741747,111.87370284863154,2000.9136955741747,111.87370284863154,2.01,"Nairobi, Kenya",Kenya,51.39,3.1070088440592776,3.1070088440592776,,
saudiarabia,3117.0,626427.0,117653378.06617478,117653378.06617478,3047015.0,3047015.0,623018.0,21484.906775209925,556.4211949855382,21484.906775209925,556.4211949855382,23.34,Saudi Arabia,Saudi Arabia,33.7,6.892815776454901,6.892815776454901,,
